item_id,rule_ref,title,description
EV1,EV.2 / GR.7,DATASHEETS AND RULES QUESTIONS,Datasheets and copies of any submitted Rules Questions with the received answer.
EV2,IN.4.1 / BR.4.6.3.2,SAFETY GLASSES,Safety glasses with side shields for all team members that might work on the Tractive System or Accumulator.
EV3,IN.4.1 / BR.4.6.3.2,FACE SHIELD,Face Shield.
EV4,IN.4.1 / BR.4.6.3.2,HV INSULATING GLOVES,"HV insulating gloves which are 12 months or less from their test date. Must include leather gloves to protect the insulating gloves from mechanical damages. Test report must be provided."
EV5,IN.4.1 / BR.4.6.3.2,MULTIMETER,Multimeter with protected probe tips.
EV6,IN.4.1 / BR.4.6.3.2,INSULATED TOOLS,"Insulated cable shears, screwdrivers and associated HV tools."
EV7,IN.4.1 / BR.4.6.3.2,HV INSULATING BLANKETS,Two HV insulating blankets of minimum 0.83 m² each. Test report must be provided.
EV8,EV.8.1,ACCUMULATOR CHARGER,Charger(s) for the Accumulator(s).
EV9,EV.4.10,ACCUMULATOR CONTAINER HAND CART,Accumulator Container Hand Cart.
EV10,EV.5.1.4,SPARE ACCUMULATORS,Spare Accumulator(s) (if applicable).
EV11,BR.4.6.3.1,BANANA-TYPE MEASURING TIPS,Two 4 mm banana-banana type measuring tips.
EV12,EV.4.3.8.a,SCHOOL NAME AND VEHICLE NUMBER ON ACCUMULATOR,School Name and Vehicle Number must be present and clearly visible on the accumulator.
EV13,EV.4.3.8.b,ACCUMULATOR HAZARD SYMBOL,"Accumulator must have symbol specified in ISO 7010-W012 (triangle with black lightning bolt on yellow background)."
EV14,EV.4.3.8.c,ACCUMULATOR ALWAYS ENERGIZED LABEL,"""Always energized"" text must be present and clearly visible on the accumulator."
EV15,EV.4.3.8.d,ACCUMULATOR VOLTAGE INDICATOR LABEL,Must indicate when accumulator voltage is greater than 60VDC.
EV16,EV.5.7.4.b,VOLTAGE INDICATOR LABEL,"""High Voltage Present"" text must be present and clearly visible on the Voltage Indicator."
EV17,F.10.4.4,ACCUMULATOR HOLES/OPENINGS,"Accumulator may have holes/openings with a maximum diameter of 10mm. Only round holes are allowed. Must not have a line of sight to the driver, with the firewall installed or not."
EV18,EV.5.9 / EV.7.8,TS CONNECTOR INTERLOCK,Tractive System connectors outside of a housing must contain an Interlock.
EV19,EV.4.10.3.a,HAND CART LOAD CAPACITY,The Hand Cart must be able to carry the load of the Accumulator Container(s) without tipping out.
EV20,EV.4.10.3.b,HAND CART MINIMUM WHEELS,Hand cart must contain a minimum of two wheels.
EV21,EV.4.10.3.c,HAND CART DEAD MAN BRAKE,"Hand cart must have a brake system using a Dead Man type switch (releasing the brake only when pushing and holding a handle) OR by manually lifting part of the cart off the ground."
EV22,EV.4.10.3.c,HAND CART BRAKE EFFECTIVENESS,The Hand Cart brake system must stop the hand cart with a fully loaded Accumulator Container.
EV23,EV.4.10.4,ACCUMULATOR ATTACHMENT TO CART,Accumulator Container(s) must be securely attached to the Hand Cart.
EV24,EV.8.2.4,CHARGER CONNECTOR INTERLOCK,Charger connector must incorporate an interlock such that the connectors only become live if are correctly connected.
EV25,EV.8.2.6 / EV.5.8.2,TSMP RESISTANCE MEASUREMENT (CHARGER),"Measure resistance between TSMP HV- and TSMP HV+."
EV26,EV.8.2.2,CHARGER HOUSING GROUNDING,"If the charger housing is conductive, it must be connected to the earth ground of the AC input."
EV27,EV.8.2.3,CHARGER CONNECTIONS ISOLATED,All connections of the charger(s) must be isolated and covered.
EV28,EV.8.2.5,HV CHARGING LEADS COLOR,High Voltage charging leads must be orange.
EV29,EV.6.3.4.c,SHIELDED CABLE GROUNDING,Any shielded cable must have the shield grounded.
EV30,EV.8.2.7,CHARGER E-STOP BUTTON,"The charger must include a Push-Pull OR Push-Rotate emergency stop switch. The E-Stop switch must have a minimum diameter of 25mm, open the shutdown circuit and hold the position when pressed. Must be labelled with the International Electrical Symbol (a red spark on a white edged blue triangle)."
EV31,EV.6.3.4.a,TS WIRING CONDUIT (CHARGER),"Any Tractive System wiring that runs outside of electrical enclosures must be enclosed in separate orange nonconductive conduit OR be a shielded cable."
