item_id,rule_ref,title,description
10,V.4.3.1,WET TIRES,"Record Brand, Compound, Size for the wet tire set on the car."
11,GR.9.3,FIRST YEAR VEHICLE,"New Chassis and is within its initial Competition Year."
12,VE.2.2,PUSH BAR,"Always with car (detachable), push & pull, usable by 2 people standing behind the car. EVs: HV disconnect tool, if used."
16,VE.1.1,CAR NUMBERS,"On front & both sides of car. Minimum 150 mm tall, 18 mm stroke & spacing. White-on-black or black-on-white only. Background shape: round, oval, rectangular or square. Visibility must not be obstructed."
17,VE.1.3,SAE DECALS,"SAE logo on front OR both sides, in prominent location."
18,VE.1.2,SCHOOL NAME,"School name or recognized initials. Both sides of car, easily visible location, 50 mm tall min, Roman letters, high contrast background."
19,VE.1.4,TECH STICKER SPACE,"25 cm wide x 20 cm high available space, located on centerline of upper front bodywork (nose) of car."
20,VE.2.5,CAMERA MOUNTS,"If >0.25 kg, must be secured by two points (typical GoPro-brand camera is <0.25 kg). No cameras mounted to helmet."
21,V.1.4,GROUND CLEARANCE,"Sufficient clearance so that no part of the car other than the tires will contact the track surface."
23,V.2.2,VISIBILITY,"100° min field of view to each side. Head rotation OK, or mirrors. If mirrors, must be firmly installed and adjusted."
24,T.2.9,ROLL BAR PADDING,"Installed on any bar that could be hit by the driver's helmet. 12 mm thick. Specification: SFI 45.1 or FIA 8857/2001. Pipe insulation or other foams not OK."
25,F.5.12,OTHER SIDE TUBES,"Cockpit design must prevent driver's neck from hitting bracing or other side tubes."
26,T.1.4,VEHICLE CONTROLS,"No hands, arms, or elbows outside side impact system when actuating controls. All controls including shifter must be inside cockpit and below topmost point of Front Hoop."
27,T.2.5,LAP BELT FIT,"Must pass over pelvis, not waist. 45-65° to horizon for upright driver, 60-80° for reclined."
28,T.2.6,SHOULDER HARNESS FIT,"Angle from shoulder between 10° up and 20° down (vs horizontal)."
29,T.2.7,SUB BELT FIT,"Snug, holding latch in place. Position in side-view — 5 Point: aligned with or forward of shoulder belt line; 6 Point: vertical or rearward of latch."
30,VE.3.3.7,ARM RESTRAINTS FIT,"Installed so the driver can release them and exit unassisted regardless of vehicle's position."
31,T.2.8,HEAD RESTRAINT FIT,"Max 25 mm (1"") forward gap to helmet. Helmet contact point min 50 mm (2"") from any edge. Applies to ALL DRIVERS (may be adjusted for each driver)."
32,F.5.6.3,MAIN HOOP & FRONT HOOP HEIGHTS,"Helmet 50 mm (2.0"") below lines between top of front and main roll hoops, and top of main hoop to rear attachment point of main hoop bracing. Applies for every driver."
33,T.1.3.2,DRIVER'S FOOT PROTECTION,"Feet must be rearward of the Front Bulkhead and no part of shoes or legs above or outside the Major Structure in side or front views when touching pedals. Remove nose bodywork if necessary for visual access."
34,IN.5.2,EGRESS,"5 seconds max to actuate cockpit master switch and exit to side of vehicle, from driving position, wearing safety equipment. Wings must remain fixed in position. See egress worksheet."
35,V.1,BODY & STYLING,"Open cockpit, formula style body. Four wheels, not in a line."
36,V.1.1,OPEN WHEEL,"Top 180° of wheel/tire unobstructed from above. Tires unobstructed from sides. Vertical keepout zones 75mm in front & behind tires."
37,T.7.2,BODYWORK,"No large openings (>~6mm) in bodywork into driver compartment in front of or alongside driver. Body/nose min 38 mm radius, +/-45° all directions."
38,V.1.2,WHEELBASE,"Minimum 1525 mm."
39,VE.2.1,JACKING POINT,"Horizontal, lateral tube at the rear. Orange color. 300 mm wide by 25-30 mm O.D. Visible to person standing 1 meter behind car. 75 mm min ground clearance. Rear tires must come off the ground using Quick-Jack (lifts to 200 mm). Exposed around the lower 180° of its circumference."
40,"T.1.5, T.1.6",SEAT,"Insulated against heat conduction, convection and radiation. Lowest point no lower than top of lower structure OR must have longitudinal 1.00"" OD x 0.065"" steel tube underneath."
41,T.1.8,FIREWALL,"Rigid, nonflammable material. Separates driver (line-of-sight to mid-height of driver's helmet) from fuel, cooling, oil, lithium battery, heat sources, and all tractive system components. Wire/cable pass-throughs OK with grommets. Multiple panels OK w/ gaps sealed. Seals (e.g. metal tape) cannot be stressed or used to hold firewalls in place. No gaps at sides or bottom. Leaks cannot contact driver."
42,T.1.7,FLOOR CLOSEOUT PANEL,"Non-perforated, non-brittle material from foot area to firewall. Multiple panels OK if gaps less than 3 mm (1/8"")."
43,T.1.3,DRIVER'S LEG PROTECTION,"Covers inside cockpit over sharp parts or moving suspension and steering components."
48,V.4,WHEELS,"203 mm (8.0"") min diameter. Wheels with single wheel nut must have positive retainer. Aluminum lug nuts hard-anodized and pristine condition."
49,T.2.2,DRIVER RESTRAINT HARNESS,"5, 6 or 7 point harness. Must be labeled: SFI 16.1, 16.5, or FIA 8853/98, 8853/2016 (or lookup FIA D-number). All lap belts must have Quick Adjusters. Reclined drivers must have 6 or 7 point and Quick Adjuster sub-belts OR 2 sets of sub belts. Belts expire after expiration year (not month) marked on label."
50,T.2.2,HARNESS HARDWARE AND INSTALLATION,"Belts threaded through hardware per manufacturer instructions. Hardware must be unmodified (no drilling, welding, etc)."
